,GRUP,ALT GRUP,PARÇA,STOK KODU,AÇIKLAMA
1,MEKANİK,Motor,Enjektör,MTRENJONR,"MTRENJONR - Motor, Enjektör, Onarım"
2,MEKANİK,Motor,Enjektör,MTRENJDGSSFROEM04,"MTRENJDGSSFROEM04 - Motor, Enjektör, Değişim, Sıfır Ürün, OEM, 4 adet"
3,MEKANİK,Motor,Enjektör,MTRENJDGSSFRMUA04,"MTRENJDGSSFRMUA04 - Motor, Enjektör, Değişim, Sıfır Ürün, MUA, 4 adet"
4,MEKANİK,Motor,Enjektör,MTRENJDGSCKMOEM04,"MTRENJDGSCKMOEM04 - Motor, Enjektör, Değişim, Çıkma, OEM, 4 adet"
5,MEKANİK,Motor,Enjektör,MTRENJDGSCKMMUA04,"MTRENJDGSCKMMUA04 - Motor, Enjektör, Değişim, Çıkma, MUA, 4 adet"
6,MEKANİK,Motor,Silindir Kapağı,MTRSKBONR,"MTRSKBONR - Motor, Silindir Kapağı, Onarım"
7,MEKANİK,Motor,Silindir Kapağı,MTRSKBDGSSFROEM01,"MTRSKBDGSSFROEM01 - Motor, Silindir Kapağı, Değişim, Sıfır Ürün, OEM, 1 adet"
8,MEKANİK,Motor,Silindir Kapağı,MTRSKBDGSSFRMUA01,"MTRSKBDGSSFRMUA01 - Motor, Silindir Kapağı, Değişim, Sıfır Ürün, MUA, 1 adet"
9,MEKANİK,Motor,Silindir Kapağı,MTRSKBDGSCKMOEM01,"MTRSKBDGSCKMOEM01 - Motor, Silindir Kapağı, Değişim, Çıkma, OEM, 1 adet"
10,MEKANİK,Motor,Silindir Kapağı,MTRSKBDGSCKMMUA01,"MTRSKBDGSCKMMUA01 - Motor, Silindir Kapağı, Değişim, Çıkma, MUA, 1 adet"
11,MEKANİK,Motor,Silindir Kapak Contası,MTRSCCONR,"MTRSCCONR - Motor, Silindir Kapak Contası, Onarım"
12,MEKANİK,Motor,Silindir Kapak Contası,MTRSCCDGSSFROEM01,"MTRSCCDGSSFROEM01 - Motor, Silindir Kapak Contası, Değişim, Sıfır Ürün, OEM, 1 adet"
13,MEKANİK,Motor,Silindir Kapak Contası,MTRSCCDGSSFRMUA01,"MTRSCCDGSSFRMUA01 - Motor, Silindir Kapak Contası, Değişim, Sıfır Ürün, MUA, 1 adet"
14,MEKANİK,Motor,Silindir Kapak Contası,MTRSCCDGSCKMOEM01,"MTRSCCDGSCKMOEM01 - Motor, Silindir Kapak Contası, Değişim, Çıkma, OEM, 1 adet"
15,MEKANİK,Motor,Silindir Kapak Contası,MTRSCCDGSCKMMUA01,"MTRSCCDGSCKMMUA01 - Motor, Silindir Kapak Contası, Değişim, Çıkma, MUA, 1 adet"
16,MEKANİK,Motor,Piston,MTRPISONR,"MTRPISONR - Motor, Piston, Onarım"
17,MEKANİK,Motor,Piston,MTRPISDGSSFROEM01,"MTRPISDGSSFROEM01 - Motor, Piston, Değişim, Sıfır Ürün, OEM, 1 adet"
18,MEKANİK,Motor,Piston,MTRPISDGSSFRMUA01,"MTRPISDGSSFRMUA01 - Motor, Piston, Değişim, Sıfır Ürün, MUA, 1 adet"
19,MEKANİK,Motor,Piston,MTRPISDGSCKMOEM01,"MTRPISDGSCKMOEM01 - Motor, Piston, Değişim, Çıkma, OEM, 1 adet"
20,MEKANİK,Motor,Piston,MTRPISDGSCKMMUA01,"MTRPISDGSCKMMUA01 - Motor, Piston, Değişim, Çıkma, MUA, 1 adet"
21,MEKANİK,Motor,Krank Mili,MTRKRNONR,"MTRKRNONR - Motor, Krank Mili, Onarım"
22,MEKANİK,Motor,Krank Mili,MTRKRNDGSSFROEM01,"MTRKRNDGSSFROEM01 - Motor, Krank Mili, Değişim, Sıfır Ürün, OEM, 1 adet"
23,MEKANİK,Motor,Krank Mili,MTRKRNDGSSFRMUA01,"MTRKRNDGSSFRMUA01 - Motor, Krank Mili, Değişim, Sıfır Ürün, MUA, 1 adet"
24,MEKANİK,Motor,Krank Mili,MTRKRNDGSCKMOEM01,"MTRKRNDGSCKMOEM01 - Motor, Krank Mili, Değişim, Çıkma, OEM, 1 adet"
25,MEKANİK,Motor,Krank Mili,MTRKRNDGSCKMMUA01,"MTRKRNDGSCKMMUA01 - Motor, Krank Mili, Değişim, Çıkma, MUA, 1 adet"
26,MEKANİK,Motor,Eksantrik (Kam) Mili,MTRKAMONR,"MTRKAMONR - Motor, Eksantrik (Kam) Mili, Onarım"
27,MEKANİK,Motor,Eksantrik (Kam) Mili,MTRKAMDGSSFROEM01,"MTRKAMDGSSFROEM01 - Motor, Eksantrik (Kam) Mili, Değişim, Sıfır Ürün, OEM, 1 adet"
28,MEKANİK,Motor,Eksantrik (Kam) Mili,MTRKAMDGSSFRMUA01,"MTRKAMDGSSFRMUA01 - Motor, Eksantrik (Kam) Mili, Değişim, Sıfır Ürün, MUA, 1 adet"
29,MEKANİK,Motor,Eksantrik (Kam) Mili,MTRKAMDGSCKMOEM01,"MTRKAMDGSCKMOEM01 - Motor, Eksantrik (Kam) Mili, Değişim, Çıkma, OEM, 1 adet"
30,MEKANİK,Motor,Eksantrik (Kam) Mili,MTRKAMDGSCKMMUA01,"MTRKAMDGSCKMMUA01 - Motor, Eksantrik (Kam) Mili, Değişim, Çıkma, MUA, 1 adet"
31,MEKANİK,Motor,Turboşarj,MTRTRBONR,"MTRTRBONR - Motor, Turboşarj, Onarım"
32,MEKANİK,Motor,Turboşarj,MTRTRBDGSSFROEM01,"MTRTRBDGSSFROEM01 - Motor, Turboşarj, Değişim, Sıfır Ürün, OEM, 1 adet"
33,MEKANİK,Motor,Turboşarj,MTRTRBDGSSFRMUA01,"MTRTRBDGSSFRMUA01 - Motor, Turboşarj, Değişim, Sıfır Ürün, MUA, 1 adet"
34,MEKANİK,Motor,Turboşarj,MTRTRBDGSCKMOEM01,"MTRTRBDGSCKMOEM01 - Motor, Turboşarj, Değişim, Çıkma, OEM, 1 adet"
35,MEKANİK,Motor,Turboşarj,MTRTRBDGSCKMMUA01,"MTRTRBDGSCKMMUA01 - Motor, Turboşarj, Değişim, Çıkma, MUA, 1 adet"
36,MEKANİK,Motor,Süperşarj,MTRSPRONR,"MTRSPRONR - Motor, Süperşarj, Onarım"
37,MEKANİK,Motor,Süperşarj,MTRSPRDGSSFROEM01,"MTRSPRDGSSFROEM01 - Motor, Süperşarj, Değişim, Sıfır Ürün, OEM, 1 adet"
38,MEKANİK,Motor,Süperşarj,MTRSPRDGSSFRMUA01,"MTRSPRDGSSFRMUA01 - Motor, Süperşarj, Değişim, Sıfır Ürün, MUA, 1 adet"
39,MEKANİK,Motor,Süperşarj,MTRSPRDGSCKMOEM01,"MTRSPRDGSCKMOEM01 - Motor, Süperşarj, Değişim, Çıkma, OEM, 1 adet"
40,MEKANİK,Motor,Süperşarj,MTRSPRDGSCKMMUA01,"MTRSPRDGSCKMMUA01 - Motor, Süperşarj, Değişim, Çıkma, MUA, 1 adet"
41,MEKANİK,Motor,EGR Valfi,MTREGRONR,"MTREGRONR - Motor, EGR Valfi, Onarım"
42,MEKANİK,Motor,EGR Valfi,MTREGRDGSSFROEM01,"MTREGRDGSSFROEM01 - Motor, EGR Valfi, Değişim, Sıfır Ürün, OEM, 1 adet"
43,MEKANİK,Motor,EGR Valfi,MTREGRDGSSFRMUA01,"MTREGRDGSSFRMUA01 - Motor, EGR Valfi, Değişim, Sıfır Ürün, MUA, 1 adet"
44,MEKANİK,Motor,EGR Valfi,MTREGRDGSCKMOEM01,"MTREGRDGSCKMOEM01 - Motor, EGR Valfi, Değişim, Çıkma, OEM, 1 adet"
45,MEKANİK,Motor,EGR Valfi,MTREGRDGSCKMMUA01,"MTREGRDGSCKMMUA01 - Motor, EGR Valfi, Değişim, Çıkma, MUA, 1 adet"
46,MEKANİK,Motor,Yağ Pompası,MTRYGPONR,"MTRYGPONR - Motor, Yağ Pompası, Onarım"
47,MEKANİK,Motor,Yağ Pompası,MTRYGPDGSSFROEM01,"MTRYGPDGSSFROEM01 - Motor, Yağ Pompası, Değişim, Sıfır Ürün, OEM, 1 adet"
48,MEKANİK,Motor,Yağ Pompası,MTRYGPDGSSFRMUA01,"MTRYGPDGSSFRMUA01 - Motor, Yağ Pompası, Değişim, Sıfır Ürün, MUA, 1 adet"
49,MEKANİK,Motor,Yağ Pompası,MTRYGPDGSCKMOEM01,"MTRYGPDGSCKMOEM01 - Motor, Yağ Pompası, Değişim, Çıkma, OEM, 1 adet"
50,MEKANİK,Motor,Yağ Pompası,MTRYGPDGSCKMMUA01,"MTRYGPDGSCKMMUA01 - Motor, Yağ Pompası, Değişim, Çıkma, MUA, 1 adet"
51,MEKANİK,Motor,Su Pompası,MTRSPMONR,"MTRSPMONR - Motor, Su Pompası, Onarım"
52,MEKANİK,Motor,Su Pompası,MTRSPMDGSSFROEM01,"MTRSPMDGSSFROEM01 - Motor, Su Pompası, Değişim, Sıfır Ürün, OEM, 1 adet"
53,MEKANİK,Motor,Su Pompası,MTRSPMDGSSFRMUA01,"MTRSPMDGSSFRMUA01 - Motor, Su Pompası, Değişim, Sıfır Ürün, MUA, 1 adet"
54,MEKANİK,Motor,Su Pompası,MTRSPMDGSCKMOEM01,"MTRSPMDGSCKMOEM01 - Motor, Su Pompası, Değişim, Çıkma, OEM, 1 adet"
55,MEKANİK,Motor,Su Pompası,MTRSPMDGSCKMMUA01,"MTRSPMDGSCKMMUA01 - Motor, Su Pompası, Değişim, Çıkma, MUA, 1 adet"
56,MEKANİK,Motor,Termostat,MTRTRMONR,"MTRTRMONR - Motor, Termostat, Onarım"
57,MEKANİK,Motor,Termostat,MTRTRMDGSSFROEM01,"MTRTRMDGSSFROEM01 - Motor, Termostat, Değişim, Sıfır Ürün, OEM, 1 adet"
58,MEKANİK,Motor,Termostat,MTRTRMDGSSFRMUA01,"MTRTRMDGSSFRMUA01 - Motor, Termostat, Değişim, Sıfır Ürün, MUA, 1 adet"
59,MEKANİK,Motor,Termostat,MTRTRMDGSCKMOEM01,"MTRTRMDGSCKMOEM01 - Motor, Termostat, Değişim, Çıkma, OEM, 1 adet"
60,MEKANİK,Motor,Termostat,MTRTRMDGSCKMMUA01,"MTRTRMDGSCKMMUA01 - Motor, Termostat, Değişim, Çıkma, MUA, 1 adet"
61,MEKANİK,Motor,Triger Seti,MTRTRGONR,"MTRTRGONR - Motor, Triger Seti, Onarım"
62,MEKANİK,Motor,Triger Seti,MTRTRGDGSSFROEM01,"MTRTRGDGSSFROEM01 - Motor, Triger Seti, Değişim, Sıfır Ürün, OEM, 1 adet"
63,MEKANİK,Motor,Triger Seti,MTRTRGDGSSFRMUA01,"MTRTRGDGSSFRMUA01 - Motor, Triger Seti, Değişim, Sıfır Ürün, MUA, 1 adet"
64,MEKANİK,Motor,Triger Seti,MTRTRGDGSCKMOEM01,"MTRTRGDGSCKMOEM01 - Motor, Triger Seti, Değişim, Çıkma, OEM, 1 adet"
65,MEKANİK,Motor,Triger Seti,MTRTRGDGSCKMMUA01,"MTRTRGDGSCKMMUA01 - Motor, Triger Seti, Değişim, Çıkma, MUA, 1 adet"
66,MEKANİK,Motor,Hava Filtresi,MTRHVFONR,"MTRHVFONR - Motor, Hava Filtresi, Onarım"
